attr_path,pname,version,forge_type,origin_url,owner,repo,rev,rev_type,hash,fetch_url
quasselDaemon,quassel-daemon-qt5,0.14.0,fetchFromGitHub,https://github.com/quassel/quassel,quassel,quassel,0.14.0,tag,sha256-eulhNcyCmy9ryietOhT2yVJeJH+MMZRbTUo2XuTy9qU=,https://github.com/quassel/quassel/archive/0.14.0.tar.gz
qucs-s,qucs-s,25.2.0,fetchFromGitHub,https://github.com/ra3xdh/qucs_s,ra3xdh,qucs_s,refs/tags/25.2.0,tag,sha256-U5XLjWKOXNjgYtlccNsPT1nUnEGi3NhkJ36jan2OSAw=,https://github.com/ra3xdh/qucs_s/archive/refs/tags/25.2.0.tar.gz
quodlibet,quodlibet,4.7.1,fetchFromGitHub,https://github.com/quodlibet/quodlibet,quodlibet,quodlibet,refs/tags/release-4.7.1,tag,sha256-xr3c1e4tjw2YHuKbvNeUPBIFdHEcpztqXjHVDSSxYlo=,https://github.com/quodlibet/quodlibet/archive/refs/tags/release-4.7.1.tar.gz
quodlibet-full,quodlibet-full,4.7.1,fetchFromGitHub,https://github.com/quodlibet/quodlibet,quodlibet,quodlibet,refs/tags/release-4.7.1,tag,sha256-xr3c1e4tjw2YHuKbvNeUPBIFdHEcpztqXjHVDSSxYlo=,https://github.com/quodlibet/quodlibet/archive/refs/tags/release-4.7.1.tar.gz
quodlibet-without-gst-plugins,quodlibet-without-gst-plugins,4.7.1,fetchFromGitHub,https://github.com/quodlibet/quodlibet,quodlibet,quodlibet,refs/tags/release-4.7.1,tag,sha256-xr3c1e4tjw2YHuKbvNeUPBIFdHEcpztqXjHVDSSxYlo=,https://github.com/quodlibet/quodlibet/archive/refs/tags/release-4.7.1.tar.gz
quodlibet-xine,quodlibet-xine,4.7.1,fetchFromGitHub,https://github.com/quodlibet/quodlibet,quodlibet,quodlibet,refs/tags/release-4.7.1,tag,sha256-xr3c1e4tjw2YHuKbvNeUPBIFdHEcpztqXjHVDSSxYlo=,https://github.com/quodlibet/quodlibet/archive/refs/tags/release-4.7.1.tar.gz
quodlibet-xine-full,quodlibet-xine-full,4.7.1,fetchFromGitHub,https://github.com/quodlibet/quodlibet,quodlibet,quodlibet,refs/tags/release-4.7.1,tag,sha256-xr3c1e4tjw2YHuKbvNeUPBIFdHEcpztqXjHVDSSxYlo=,https://github.com/quodlibet/quodlibet/archive/refs/tags/release-4.7.1.tar.gz
qview,qview,7.1,fetchFromGitHub,https://github.com/jurplel/qView,jurplel,qView,refs/tags/7.1,tag,sha256-EcXhwJcgBLdXa/FQ5LuENlzwnLw4Gt2BGlBO1p5U8tI=,https://github.com/jurplel/qView/archive/refs/tags/7.1.tar.gz
rPackages.arrow,arrow,23.0.0.1,fetchFromGitHub,https://github.com/apache/arrow,apache,arrow,apache-arrow-23.0.0,tag,sha256-BluUlbtGJwvlrpN/c/KziOfFh5dvzZyuCy4JZkkFea4=,https://github.com/apache/arrow/archive/apache-arrow-23.0.0.tar.gz
radare2,radare2,6.0.7,fetchFromGitHub,https://github.com/radare/radare2,radare,radare2,refs/tags/6.0.7,tag,sha256-/WVzqHaDwztvLskE9mSewPlfnVfFPRHQYKvuOitSeNo=,https://github.com/radare/radare2/archive/refs/tags/6.0.7.tar.gz
radiance-vj,radiance,0.7.1,fetchFromGitHub,https://github.com/zbanks/radiance,zbanks,radiance,0.7.1,tag,sha256-RWPcbUg7/gggPuUZLyMJ/m2S5GGfrdE6SWyXERIXsdk=,https://github.com/zbanks/radiance/archive/0.7.1.tar.gz
rain-bittorrent,rain,2.3.0,fetchFromGitHub,https://github.com/cenkalti/rain,cenkalti,rain,refs/tags/v2.3.0,tag,sha256-g7KzqQymnB37nngi4CUuFMoLTUpc5iA3YKEoD+nJ814=,https://github.com/cenkalti/rain/archive/refs/tags/v2.3.0.tar.gz
rapidyaml,rapidyaml,0.10.0,fetchFromGitHub,https://github.com/biojppm/rapidyaml,biojppm,rapidyaml,refs/tags/v0.10.0,tag,sha256-r19PBS35mvAK2RoZGXaw6UU9EuEXVoUK6BV6cJnPyUs=,
rasdaemon,rasdaemon,0.8.4,fetchFromGitHub,https://github.com/mchehab/rasdaemon,mchehab,rasdaemon,refs/tags/v0.8.4,tag,sha256-rk4CZrWQRe2wsx8/eXP0BIeaU/Gxmcb+Kry5F8t4YKQ=,https://github.com/mchehab/rasdaemon/archive/refs/tags/v0.8.4.tar.gz
raspberrypi-eeprom,raspberrypi-eeprom,2026.01.09-2711,fetchFromGitHub,https://github.com/raspberrypi/rpi-eeprom,raspberrypi,rpi-eeprom,refs/tags/v2026.01.09-2711,tag,sha256-grJc7wvnYIYouybJhAE6uRb28JGJ12YP6eHIt/xrPPs=,https://github.com/raspberrypi/rpi-eeprom/archive/refs/tags/v2026.01.09-2711.tar.gz
